device,fold,model,n,n_event,n_censored,ibs,brier_6h,brier_12h,brier_24h,brier_48h,skill_vs_km-train,skill_vs_drydown-clock,skill_vs_gauss-continuous
SE01-LS-4,4,fhs-hazard-blend,71,0,47,0.006910,0.000215,0.000432,0.001612,0.037769,0.704490,,-0.603907
SE01-LS-4,4,gauss-continuous,71,0,47,0.004308,0.000000,0.000000,0.000007,0.037685,0.815756,,0.000000
SE01-LS-4,4,gauss-discrete,71,0,47,0.003346,0.000000,0.000000,0.000004,0.030352,0.856923,,0.223440
SE01-LS-4,4,hazard-glm,71,0,47,0.015004,0.000862,0.001726,0.006075,0.055975,0.358399,,-2.482341
SE01-LS-4,4,km-train,71,0,47,0.023385,0.001482,0.003100,0.010337,0.085708,0.000000,,-4.427582
SE0X-LS-1,0,drydown-clock,403,343,0,0.261166,0.000000,0.017370,0.071960,0.851117,-1.186707,0.000000,-0.832365
SE0X-LS-1,0,fhs-discrete,403,343,0,0.149490,0.000538,0.017147,0.064271,0.367473,-0.251654,0.427608,-0.048831
SE0X-LS-1,0,fhs-hazard-blend,403,343,0,0.125588,0.000726,0.016910,0.069971,0.252104,-0.051529,0.519127,0.118865
SE0X-LS-1,0,gauss-continuous,403,343,0,0.142530,0.004324,0.033068,0.101501,0.286138,-0.193380,0.454257,0.000000
SE0X-LS-1,0,gauss-discrete,403,343,0,0.143306,0.001871,0.024355,0.083976,0.321282,-0.199884,0.451283,-0.005450
SE0X-LS-1,0,hazard-glm,403,343,0,0.111237,0.001111,0.017217,0.077577,0.171479,0.068631,0.574077,0.219554
SE0X-LS-1,0,km-train,403,343,0,0.119434,0.001657,0.018653,0.091231,0.193415,0.000000,0.542691,0.162044
SE0X-LS-1,1,drydown-clock,144,20,47,0.025362,0.000000,0.000000,0.000000,0.196559,0.757069,0.000000,0.089510
SE0X-LS-1,1,fhs-discrete,144,20,47,0.022520,0.000000,0.000001,0.000400,0.146679,0.784291,0.112056,0.191536
SE0X-LS-1,1,fhs-hazard-blend,144,20,47,0.037353,0.000080,0.000188,0.004448,0.174905,0.642209,-0.472814,-0.340982
SE0X-LS-1,1,gauss-continuous,144,20,47,0.027855,0.000000,0.000009,0.002792,0.152590,0.733187,-0.098310,0.000000
SE0X-LS-1,1,gauss-discrete,144,20,47,0.025532,0.000000,0.000004,0.001764,0.149138,0.755443,-0.006695,0.083414
SE0X-LS-1,1,hazard-glm,144,20,47,0.069076,0.000320,0.000705,0.013260,0.249671,0.338345,-1.723638,-1.479845
SE0X-LS-1,1,km-train,144,20,47,0.104400,0.001136,0.002534,0.040574,0.351349,0.000000,-3.116403,-2.747943
SE0X-LS-1,2,drydown-clock,389,7,45,0.004090,0.000000,0.000000,0.000000,0.019953,0.959277,0.000000,0.571117
SE0X-LS-1,2,fhs-discrete,389,7,45,0.006026,0.000000,0.000000,0.000026,0.037181,0.940006,-0.473201,0.368169
SE0X-LS-1,2,fhs-hazard-blend,389,7,45,0.019043,0.000046,0.000100,0.002107,0.092340,0.810412,-3.655505,-0.996666
SE0X-LS-1,2,gauss-continuous,389,7,45,0.009538,0.000000,0.000000,0.000263,0.054752,0.905048,-1.331639,0.000000
SE0X-LS-1,2,gauss-discrete,389,7,45,0.008106,0.000000,0.000000,0.000154,0.046916,0.919302,-0.981621,0.150117
SE0X-LS-1,2,hazard-glm,389,7,45,0.046094,0.000184,0.000396,0.007595,0.188860,0.541105,-10.268615,-3.832916
SE0X-LS-1,2,km-train,389,7,45,0.100446,0.000972,0.002173,0.035124,0.384528,0.000000,-23.555958,-9.531629
SE0X-LS-1,3,drydown-clock,402,45,0,0.026689,0.000000,0.000000,0.004975,0.111940,0.677253,0.000000,0.220649
SE0X-LS-1,3,fhs-discrete,402,45,0,0.028598,0.000000,0.000001,0.005427,0.122175,0.654169,-0.071524,0.164907
SE0X-LS-1,3,fhs-hazard-blend,402,45,0,0.037274,0.000045,0.000106,0.007452,0.150295,0.549256,-0.396588,-0.088432
SE0X-LS-1,3,gauss-continuous,402,45,0,0.034246,0.000000,0.000008,0.007916,0.138424,0.585877,-0.283119,0.000000
SE0X-LS-1,3,gauss-discrete,402,45,0,0.031237,0.000000,0.000003,0.006732,0.127942,0.622261,-0.170387,0.087858
SE0X-LS-1,3,hazard-glm,402,45,0,0.052499,0.000180,0.000386,0.011380,0.195454,0.365153,-0.967013,-0.532993
SE0X-LS-1,3,km-train,402,45,0,0.082695,0.000756,0.001691,0.030851,0.297888,0.000000,-2.098405,-1.414744
SE0X-LS-1,4,drydown-clock,71,0,47,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,1.000000
SE0X-LS-1,4,fhs-discrete,71,0,47,0.007299,0.000000,0.000000,0.000367,0.045670,0.885807,,0.443692
SE0X-LS-1,4,fhs-hazard-blend,71,0,47,0.015520,0.000026,0.000060,0.001843,0.077102,0.757194,,-0.182862
SE0X-LS-1,4,gauss-continuous,71,0,47,0.013121,0.000000,0.000001,0.001682,0.067838,0.794730,,0.000000
SE0X-LS-1,4,gauss-discrete,71,0,47,0.010007,0.000000,0.000000,0.001031,0.054369,0.843447,,0.237329
SE0X-LS-1,4,hazard-glm,71,0,47,0.027255,0.000102,0.000226,0.004494,0.116961,0.573599,,-1.077275
SE0X-LS-1,4,km-train,71,0,47,0.063919,0.000582,0.001301,0.021309,0.251168,0.000000,,-3.871641
